Player,Team_TransferSite,Age,Position,Skill,Potential,TransferValue_EUR_Millions
Trent Alexander-Arnold,Liverpool,26.0,D (R),85.3,87.4,55.8
Dean Huijsen,B'mouth,20.0,D (C),65.2,82.3,55.0
Bruno Fernandes,Man Utd,30.0,"AM, M (C)",79.8,79.9,54.8
Marc Guéhi,C. Palace,24.0,D (CL),79.0,83.7,54.2
Marcus Rashford,Aston Villa,27.0,M (L),79.1,79.2,53.6
Sandro Tonali,Newcastle Utd.,25.0,M (C),78.0,82.3,52.9
Carlos Baleba,Brighton,21.0,"DM, M (C)",73.7,87.5,52.4
Matthijs de Ligt,Man Utd,25.0,D (CR),75.6,82.9,52.2
Dominic Solanke,Tottenham,27.0,F (C),79.5,80.2,52.1
Christopher Nkunku,Chelsea,27.0,"F (C), M (L)",79.1,81.0,51.7
Noni Madueke,Chelsea,23.0,"F, M (R)",76.1,86.4,51.6
João Gomes,Wolverhampton,24.0,"M, DM (C)",71.4,77.2,51.1
Pape Matar Sarr,Tottenham,22.0,"M, DM (C)",70.5,80.6,50.8
Kaoru Mitoma,Brighton,27.0,"F, M (L)",80.2,80.2,50.6
Bernardo Silva,Man City,30.0,"M (CR), DM (C)",86.7,87.8,50.0
Anthony Gordon,Newcastle Utd.,24.0,F (L),80.7,86.9,49.5
Valentino Livramento,Newcastle Utd.,22.0,D (RL),73.6,84.3,49.3
Riccardo Calafiori,Arsenal,22.0,D (CL),73.1,80.7,49.3
Lisandro Martínez,Man Utd,27.0,D (CL),73.0,74.5,49.2
Adam Wharton,C. Palace,21.0,"DM, M (C)",68.1,81.3,48.9
Amad Diallo,Man Utd,22.0,"F, M (R)",69.4,76.9,48.5
Jarrod Bowen,West Ham United,28.0,"M (R), F (C)",73.5,75.3,48.1
Antoine Semenyo,B'mouth,25.0,M (RL),74.1,79.3,47.7
Joelinton,Newcastle Utd.,28.0,"M (C), AM (L)",77.0,77.0,47.5
Elliot Anderson,Nottingham,22.0,"M, DM (C)",79.6,89.8,46.5
Antonee Robinson,Fulham,27.0,D (L),77.9,78.7,46.4
