Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expected Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%
Virgil van Dijk,NED,Liverpool,DF,33,34,34,3060,2,1,3,0,2.0,0.7,18,176,6,0.06,0.03,0.06,0.02,N/a,N/a,N/a,N/a,29.2,0.21,0.08,13.6,2446,91.6,44780,96.0,95.4,67.9,12,265,6,0,176,46,1.35,4,0.12,35,17,20,9,24,13,11,52,3010,400,1203,1664,151,44,5,60.0,40.0,1682,4398,18,20,3,9,5,2063,6,15,12,0,1,108,110,45,71.0
Vitaliy Mykolenko,UKR,Everton,DF,25,32,32,2812,0,1,3,0,0.4,1.6,31,105,90,0.00,0.03,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.00,0.00,20.5,908,74.4,15184,89.0,74.2,44.7,20,96,37,22,105,38,1.22,3,0.10,55,33,51,25,24,9,15,37,1541,115,480,656,416,30,20,40.0,45.0,636,1432,31,27,1,21,10,783,90,20,28,3,91,79,46,36,56.1
Vitaly Janelt,GER,Brentford,MF,26,32,27,2254,1,3,3,0,0.8,2.2,17,80,38,0.04,0.12,0.03,0.09,N/a,N/a,N/a,N/a,28.6,0.16,0.07,17.7,872,82.5,14466,90.6,85.4,55.9,14,78,23,7,80,32,1.28,3,0.12,38,22,36,15,33,9,24,27,1289,118,418,574,306,32,12,25.0,58.3,652,1278,17,18,3,16,10,814,38,24,15,1,30,107,19,11,63.3
Vladimír Coufal,CZE,West Ham,DF,32,18,9,865,0,0,4,0,0.2,0.6,15,32,25,0.00,0.00,0.02,0.06,N/a,N/a,N/a,N/a,25.0,0.10,0.00,16.7,363,77.7,5924,89.4,80.1,41.7,6,35,12,7,32,13,1.35,1,0.10,17,11,18,11,13,11,2,8,579,56,224,242,116,10,7,28.6,28.6,231,632,15,5,2,10,6,314,25,20,14,0,20,28,18,12,60.0
Wataru Endo,JPN,Liverpool,MF,32,17,0,169,0,0,0,0,0.0,0.0,0,9,2,0.00,0.00,0.00,0.01,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,90,92.8,1447,91.8,97.2,100.0,1,9,1,0,9,3,1.58,0,0.00,8,6,8,3,5,0,5,3,130,5,31,77,23,2,1,100.0,0.0,52,47,0,0,1,6,2,81,2,14,6,0,0,7,2,3,40.0
Welington,BRA,Southampton,"DF,MF",24,7,3,215,0,0,1,0,0.0,0.0,3,6,10,0.00,0.00,0.02,0.01,N/a,N/a,N/a,N/a,0.0,0.00,0.00,31.3,69,77.5,1098,82.9,78.0,75.0,2,5,5,4,6,6,2.51,1,0.42,13,5,12,5,3,1,2,3,131,11,46,48,40,2,4,75.0,0.0,47,116,3,3,1,6,0,55,10,3,5,0,10,10,0,2,0.0
Wes Burns,WAL,Ipswich Town,"FW,DF",30,18,12,926,0,1,1,0,0.5,1.6,38,8,65,0.00,0.10,0.05,0.16,N/a,N/a,N/a,N/a,14.3,0.10,0.00,18.3,153,60.5,2416,80.4,65.4,38.9,10,8,8,7,8,16,1.55,1,0.10,13,11,10,6,7,2,5,10,350,21,69,129,160,18,24,37.5,58.3,216,696,38,13,10,17,13,220,65,4,11,0,46,50,8,21,27.6
Wesley Fofana,FRA,Chelsea,DF,24,14,14,1172,0,0,7,0,0.4,0.4,19,32,4,0.00,0.00,0.03,0.03,N/a,N/a,N/a,N/a,0.0,0.00,0.00,10.6,724,90.2,12262,93.9,92.5,61.9,6,54,1,0,32,15,1.15,0,0.00,13,12,14,8,14,9,5,14,933,81,370,523,55,10,15,53.3,20.0,557,1614,19,12,1,16,5,665,4,24,16,0,1,54,27,12,69.2
Wilfred Ndidi,NGA,Leicester City,MF,28,26,26,2147,0,4,8,0,2.0,1.8,17,65,75,0.00,0.17,0.08,0.08,N/a,N/a,N/a,N/a,36.4,0.34,0.00,13.9,773,80.3,11088,87.0,82.1,54.5,15,62,10,3,65,27,1.13,3,0.13,80,49,54,27,47,19,28,26,1295,113,428,634,245,60,32,40.6,53.1,624,1023,17,23,2,34,33,770,75,39,17,3,30,121,55,55,50.0
Will Hughes,ENG,Crystal Palace,MF,30,29,21,1869,0,3,11,0,1.0,2.7,18,82,24,0.00,0.14,0.05,0.13,N/a,N/a,N/a,N/a,5.3,0.05,0.00,22.6,658,76.1,10532,88.6,82.7,36.7,29,69,14,3,82,61,2.94,6,0.29,61,33,59,32,29,14,15,19,1070,41,253,551,278,14,14,28.6,42.9,469,1120,18,22,1,19,24,594,24,60,30,0,65,107,17,17,50.0
