Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expected Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%
Bobby De Cordova-Reid,JAM,Leicester City,FW,32,23,9,744,1,2,2,0,0.8,1.2,14,15,48,0.12,0.24,0.10,0.15,N/a,N/a,N/a,N/a,42.9,0.36,0.14,25.1,145,70.4,1883,81.5,73.6,33.3,6,9,5,0,15,13,1.57,3,0.36,9,4,14,10,6,1,5,0,272,15,49,114,109,16,10,0.0,80.0,174,389,14,5,6,11,10,188,48,9,9,4,15,29,6,14,30.0
Boubacar Kamara,FRA,Aston Villa,MF,25,23,17,1463,0,0,2,0,0.4,0.9,16,74,7,0.00,0.00,0.02,0.05,N/a,N/a,N/a,N/a,14.3,0.06,0.00,21.1,738,89.1,11640,93.4,91.8,53.4,10,82,8,0,74,24,1.48,2,0.12,49,20,54,26,17,7,10,17,992,92,309,572,118,8,23,34.8,34.8,516,1121,16,11,1,10,15,673,7,25,28,0,1,73,17,22,43.6
Boubakary Soumaré,FRA,Leicester City,MF,26,28,23,1960,0,0,8,0,0.3,0.4,31,95,21,0.00,0.00,0.01,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,23.4,985,86.7,14936,92.0,87.6,69.1,11,90,13,2,95,34,1.56,3,0.14,33,18,30,12,19,7,12,24,1322,62,350,835,150,17,44,61.4,29.5,788,1881,31,16,3,20,21,929,21,21,21,0,8,130,19,9,67.9
Brajan Gruda,GER,Brighton,"FW,MF",20,17,6,507,0,3,0,0,0.4,1.2,16,17,47,0.00,0.53,0.07,0.22,N/a,N/a,N/a,N/a,50.0,0.36,0.00,16.8,138,73.4,1846,82.6,71.1,38.1,14,7,10,1,17,26,4.61,4,0.71,14,6,14,7,8,0,8,2,259,4,33,89,141,33,23,39.1,43.5,152,491,16,17,10,9,20,170,47,6,9,1,17,19,3,4,42.9
Brennan Johnson,WAL,Tottenham,FW,23,31,23,2083,11,3,5,0,9.8,2.3,57,70,194,0.48,0.13,0.43,0.10,N/a,N/a,N/a,N/a,37.7,0.86,0.21,11.4,438,71.0,5790,80.5,75.7,34.4,19,25,35,6,70,46,1.99,7,0.30,39,26,31,15,25,3,22,4,825,16,89,282,466,120,44,43.2,50.0,527,1410,57,21,32,25,16,609,194,26,25,12,52,60,7,20,25.9
Bruno Fernandes,POR,Manchester Utd,MF,30,33,32,2758,8,9,4,2,9.5,7.6,65,281,118,0.26,0.29,0.31,0.25,N/a,N/a,N/a,N/a,30.1,0.82,0.06,21.9,1522,75.2,26743,86.7,80.4,52.6,84,176,73,11,281,169,5.51,12,0.39,76,47,75,46,32,4,28,25,2394,59,398,1130,888,71,65,41.5,49.2,1379,3436,65,60,11,38,37,1665,118,26,37,2,172,192,21,28,42.9
Bruno Guimarães,BRA,Newcastle Utd,MF,27,34,34,2912,4,6,6,0,3.8,5.6,53,241,79,0.12,0.19,0.12,0.17,N/a,N/a,N/a,N/a,23.7,0.28,0.11,16.2,1305,82.1,21511,90.7,87.5,56.4,45,158,67,6,241,119,3.68,17,0.53,71,41,61,32,33,9,24,27,1965,74,397,1011,578,71,71,47.9,29.6,1275,3063,53,39,11,51,73,1475,79,54,99,2,24,161,17,16,51.5
Bryan Mbeumo,CMR,Brentford,FW,25,34,34,3054,18,6,3,0,10.8,7.9,114,126,306,0.53,0.18,0.32,0.23,N/a,N/a,N/a,N/a,43.5,0.88,0.19,17.7,779,66.7,12432,79.2,72.4,37.5,65,54,55,16,126,131,3.86,17,0.50,44,29,30,13,22,3,19,14,1577,51,226,503,876,144,95,46.3,41.1,955,3125,114,62,67,97,38,1072,306,23,42,11,177,139,32,69,31.7
Bukayo Saka,ENG,Arsenal,"FW,MF",23,22,18,1539,6,10,3,0,6.2,6.8,82,62,233,0.35,0.58,0.36,0.40,N/a,N/a,N/a,N/a,34.5,1.17,0.09,15.6,488,75.2,7524,90.1,73.1,47.7,50,13,32,10,62,102,5.97,22,1.29,24,13,22,11,21,0,21,3,875,6,52,192,639,146,84,44.0,41.7,559,2130,82,28,45,29,38,636,233,14,38,5,110,65,8,19,29.6
Caleb Okoli,ITA,Leicester City,DF,23,18,12,1124,1,0,4,0,0.6,0.0,3,32,2,0.08,0.00,0.05,0.00,N/a,N/a,N/a,N/a,50.0,0.16,0.25,13.5,558,86.4,9738,91.3,91.0,55.4,0,21,1,0,32,4,0.32,0,0.00,25,14,18,7,24,14,10,15,804,152,450,324,35,10,0,N/a,N/a,467,1106,3,6,0,10,2,483,2,16,9,0,1,44,23,21,52.3
Callum Hudson-Odoi,ENG,Nott'ham Forest,"FW,MF",24,29,25,2152,5,2,2,0,2.5,2.7,127,66,186,0.21,0.08,0.10,0.11,N/a,N/a,N/a,N/a,45.9,0.71,0.14,18.3,674,82.2,9918,92.1,81.8,51.2,44,36,31,11,66,94,3.93,11,0.46,20,14,17,6,11,0,11,13,1005,15,111,324,595,72,62,58.1,29.0,626,3335,127,61,45,44,23,764,186,12,22,8,75,91,3,10,23.1
Callum Wilson,ENG,Newcastle Utd,FW,33,14,1,268,0,0,1,0,0.3,0.1,5,3,11,0.00,0.00,0.11,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,15.0,27,69.2,381,76.5,80.0,N/a,1,1,0,0,3,6,2.01,0,0.00,2,2,2,2,2,0,2,1,71,1,5,41,28,15,5,20.0,40.0,36,92,5,4,5,10,8,42,11,2,1,3,2,10,2,12,14.3
Calvin Bassey,NGA,Fulham,DF,25,33,32,2894,1,0,7,0,1.0,0.1,35,108,15,0.03,0.00,0.03,0.00,N/a,N/a,N/a,N/a,28.6,0.12,0.07,15.3,1820,89.7,32133,95.0,94.0,61.3,3,144,2,0,108,23,0.72,3,0.09,52,33,30,9,37,17,20,18,2314,306,1125,1090,123,19,30,46.7,33.3,1480,4481,35,17,5,32,8,1616,15,26,31,2,7,157,40,31,56.3
Cameron Archer,ENG,Southampton,FW,23,32,13,1373,2,0,0,0,5.1,0.4,19,14,64,0.13,0.00,0.33,0.02,N/a,N/a,N/a,N/a,33.3,0.59,0.07,13.1,189,81.1,2474,85.6,91.4,55.6,3,6,7,0,14,17,1.12,0,0.00,11,7,9,7,5,1,4,2,362,16,59,161,145,50,32,43.8,53.1,210,499,19,9,14,34,25,256,64,16,12,7,3,34,8,28,22.2
Cameron Burgess,AUS,Ipswich Town,DF,29,17,15,1451,0,2,0,0,0.7,0.5,2,41,4,0.00,0.12,0.04,0.03,N/a,N/a,N/a,N/a,11.1,0.06,0.00,9.7,590,80.9,10830,90.9,87.0,50.8,7,45,4,0,41,13,0.81,3,0.19,15,10,9,2,18,13,5,14,919,221,562,312,47,23,0,N/a,N/a,416,990,2,4,0,3,0,539,4,5,4,1,0,40,43,22,66.2
Caoimhín Kelleher,IRL,Liverpool,GK,26,10,10,900,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,1.20,67.6,40.0,100.0,N/a,0.00,N/a,N/a,289,75.7,6252,100.0,100.0,31.9,0,6,0,0,0,3,0.30,1,0.10,0,0,0,0,0,0,0,0,398,286,396,2,0,0,1,100.0,0.0,290,616,0,0,0,1,0,275,0,0,3,0,0,18,1,0,100.0
Carlos Alcaraz,ARG,Everton,"FW,MF",22,12,5,580,1,2,4,0,1.3,1.5,15,37,17,0.16,0.31,0.21,0.23,N/a,N/a,N/a,N/a,31.6,0.93,0.05,20.4,184,79.0,3288,85.4,88.3,61.3,11,15,18,3,37,26,4.03,4,0.62,11,5,9,6,6,1,5,4,311,10,51,139,130,15,16,56.3,31.3,180,576,15,17,2,11,11,206,17,10,9,1,10,29,12,6,66.7
Carlos Baleba,CMR,Brighton,MF,21,30,27,2313,3,1,8,1,3.0,1.3,40,111,26,0.12,0.04,0.12,0.05,N/a,N/a,N/a,N/a,27.5,0.43,0.08,25.1,1018,87.7,17164,92.7,91.7,64.3,20,103,22,2,111,60,2.34,4,0.16,71,41,72,28,43,10,33,40,1506,84,361,891,293,11,51,58.8,35.3,857,2564,40,40,3,36,35,913,26,38,43,0,8,172,38,23,62.3
Carlos Forbs,POR,Wolves,"MF,FW",21,10,1,239,0,0,2,0,0.1,0.0,10,8,28,0.00,0.00,0.05,0.01,N/a,N/a,N/a,N/a,0.0,0.00,0.00,19.1,60,65.9,788,76.5,73.1,20.0,1,2,3,1,8,5,1.89,1,0.38,8,5,6,2,3,0,3,1,121,3,23,39,60,13,12,58.3,41.7,75,321,10,3,8,7,4,85,28,2,1,0,9,11,1,3,25.0
Carlos Soler,ESP,West Ham,"MF,FW",28,28,14,1347,1,1,5,0,1.7,1.2,16,52,33,0.07,0.07,0.11,0.08,N/a,N/a,N/a,N/a,29.2,0.47,0.04,19.1,530,85.1,8264,94.4,85.7,53.7,14,41,11,0,52,46,3.08,2,0.13,13,10,22,16,19,6,13,8,738,26,172,384,187,22,18,44.4,50.0,338,714,16,16,4,11,14,502,33,24,17,0,31,63,9,11,45.0
Casemiro,BRA,Manchester Utd,MF,33,22,16,1335,1,0,3,0,1.7,2.3,4,70,26,0.07,0.00,0.11,0.15,N/a,N/a,N/a,N/a,28.6,0.54,0.04,18.8,670,78.5,11089,86.4,83.7,59.8,20,68,20,6,70,49,3.31,3,0.20,77,46,66,25,33,10,23,12,1091,69,327,555,217,38,6,50.0,50.0,575,823,4,10,0,10,10,697,26,17,18,3,19,89,31,17,64.6
Charlie Taylor,ENG,Southampton,DF,31,7,2,266,0,0,1,0,0.0,0.1,3,8,6,0.00,0.00,0.00,0.03,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,154,87.0,2691,94.0,89.5,70.6,1,8,2,1,8,2,0.68,1,0.34,7,5,6,1,5,3,2,3,219,21,93,91,36,1,2,100.0,0.0,91,155,3,3,0,1,1,133,6,2,2,0,9,7,4,2,66.7
Cheick Doucouré,MLI,Crystal Palace,MF,25,13,4,452,0,0,1,0,0.4,0.0,2,19,7,0.00,0.00,0.08,0.00,N/a,N/a,N/a,N/a,0.0,0.00,0.00,20.6,174,85.3,2909,89.4,89.7,80.0,1,17,3,0,19,9,1.79,3,0.60,16,8,11,6,4,0,4,11,263,11,56,165,45,4,5,40.0,40.0,133,280,2,7,1,4,7,160,7,7,7,0,1,31,5,5,50.0
Chiedozie Ogbene,IRL,Ipswich Town,FW,28,5,3,238,0,0,0,0,0.0,0.1,7,0,15,0.00,0.00,0.00,0.03,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,32,74.4,415,83.3,80.0,100.0,2,0,0,0,0,3,1.13,0,0.00,7,3,4,2,1,0,1,1,70,3,11,19,40,6,7,14.3,42.9,41,139,7,2,2,4,2,43,15,2,7,1,4,6,1,6,14.3
Chris Richards,USA,Crystal Palace,DF,25,20,18,1562,1,0,4,1,1.2,0.1,5,34,1,0.06,0.00,0.07,0.01,N/a,N/a,N/a,N/a,50.0,0.29,0.10,11.8,583,81.1,10347,89.2,90.3,44.2,2,20,0,0,34,7,0.40,2,0.12,42,27,38,15,35,13,22,10,935,111,513,371,56,15,6,16.7,83.3,433,850,5,5,0,5,5,525,1,11,4,1,1,48,33,35,48.5
Chris Wood,NZL,Nott'ham Forest,FW,33,32,31,2599,19,3,1,0,11.4,2.4,13,34,79,0.66,0.10,0.40,0.08,N/a,N/a,N/a,N/a,56.6,1.04,0.30,14.2,277,66.1,3819,71.3,65.1,71.4,18,15,8,1,34,39,1.35,5,0.17,4,4,8,7,11,7,4,5,662,33,79,318,267,85,12,33.3,58.3,327,434,13,10,5,67,24,486,79,22,20,26,1,42,82,123,40.0
Christian Eriksen,DEN,Manchester Utd,MF,33,20,11,994,0,1,4,0,0.3,2.6,10,49,29,0.00,0.09,0.03,0.24,N/a,N/a,N/a,N/a,11.1,0.09,0.00,24.8,548,79.5,9150,91.9,80.3,49.1,23,53,8,2,49,45,4.07,6,0.54,19,9,24,13,13,4,9,7,778,24,160,376,246,13,3,0.0,100.0,424,677,10,11,0,11,5,514,29,8,3,0,74,59,2,5,28.6
Christian Nørgaard,DEN,Brentford,MF,31,30,30,2459,5,2,6,1,3.7,0.8,12,126,34,0.18,0.07,0.14,0.03,N/a,N/a,N/a,N/a,32.4,0.40,0.15,14.6,1012,81.7,16748,87.2,85.9,58.6,16,124,23,3,126,48,1.76,9,0.33,73,45,68,26,48,18,30,43,1572,158,543,751,293,51,12,50.0,33.3,719,1163,12,12,4,31,18,940,34,39,26,1,14,175,42,29,59.2
Christian Walton,ENG,Ipswich Town,GK,29,6,6,540,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.67,57.6,16.7,0.0,N/a,0.00,N/a,N/a,152,67.3,4170,100.0,97.2,36.8,1,1,0,0,0,2,0.33,0,0.00,0,0,1,1,0,0,0,0,242,224,241,1,0,0,0,N/a,N/a,122,305,0,0,0,0,0,117,0,0,1,0,0,5,2,0,100.0
Christopher Nkunku,FRA,Chelsea,FW,27,27,9,921,3,2,2,0,4.8,2.1,17,25,68,0.29,0.20,0.47,0.21,N/a,N/a,N/a,N/a,44.0,1.07,0.12,12.6,299,89.5,3928,91.6,92.2,100.0,14,26,7,0,25,34,3.32,4,0.39,12,8,8,2,9,2,7,7,448,10,52,183,217,52,27,37.0,51.9,280,628,17,16,13,18,17,356,68,16,11,3,4,29,16,22,42.1
Cody Gakpo,NED,Liverpool,FW,25,31,19,1627,9,3,5,0,6.4,3.5,48,51,240,0.50,0.17,0.35,0.19,N/a,N/a,N/a,N/a,40.0,1.11,0.18,15.1,415,76.0,5915,86.5,67.2,55.2,33,22,26,8,51,70,3.87,7,0.39,26,14,23,12,19,2,17,11,759,20,72,217,486,87,48,58.3,31.3,510,1820,48,30,18,38,19,570,240,17,23,5,64,62,15,22,40.5
Cole Palmer,ENG,Chelsea,MF,22,33,32,2831,14,8,6,0,15.8,9.3,103,194,165,0.45,0.25,0.50,0.30,N/a,N/a,N/a,N/a,36.0,1.27,0.10,20.3,1019,76.9,19338,85.9,84.8,59.6,78,145,61,17,194,180,5.72,14,0.45,25,16,21,13,14,1,13,8,1650,20,133,735,804,126,103,45.6,39.8,1046,3306,103,66,35,61,34,1219,165,12,55,6,133,93,1,7,12.5
Conor Bradley,NIR,Liverpool,DF,21,15,4,533,0,1,3,0,0.6,0.5,26,25,27,0.00,0.17,0.10,0.08,N/a,N/a,N/a,N/a,33.3,0.51,0.00,14.3,358,83.8,5339,91.6,88.2,35.5,5,20,3,1,25,16,2.71,2,0.34,11,8,16,8,4,0,4,3,511,17,142,238,140,33,16,37.5,56.3,282,1012,26,17,7,8,2,322,27,8,10,0,5,34,7,6,53.8
Conor Chaplin,ENG,Ipswich Town,"MF,FW",28,19,8,712,1,1,2,0,1.2,0.7,11,26,20,0.13,0.13,0.15,0.09,N/a,N/a,N/a,N/a,25.0,0.38,0.08,18.3,186,72.7,2998,80.9,79.2,40.0,8,20,7,2,26,21,2.66,1,0.13,12,5,13,7,8,1,7,3,314,7,57,158,104,12,7,57.1,42.9,148,403,11,7,0,11,3,215,20,11,6,0,9,25,2,9,18.2
Conor Coady,ENG,Leicester City,DF,32,19,16,1444,0,0,2,0,0.1,0.1,3,31,0,0.00,0.00,0.01,0.00,N/a,N/a,N/a,N/a,100.0,0.06,0.00,9.2,827,90.9,14325,97.0,96.6,52.7,1,32,2,0,31,5,0.31,0,0.00,12,8,5,2,27,20,7,13,1033,197,568,448,18,6,2,50.0,50.0,673,1552,3,3,1,4,2,761,0,7,2,1,0,50,13,19,40.6
Conor Townsend,ENG,Ipswich Town,DF,32,6,3,335,0,1,1,0,0.0,0.7,2,8,13,0.00,0.27,0.01,0.18,N/a,N/a,N/a,N/a,0.0,0.00,0.00,16.7,80,63.0,1418,82.1,74.5,29.2,4,7,2,2,8,5,1.34,1,0.27,11,8,11,3,8,6,2,4,172,28,87,50,38,5,0,N/a,N/a,53,136,2,2,0,2,2,75,13,2,4,0,12,8,6,4,60.0
Craig Dawson,ENG,Wolves,DF,34,15,10,971,0,0,2,0,0.5,0.0,6,20,5,0.00,0.00,0.05,0.00,N/a,N/a,N/a,N/a,20.0,0.09,0.00,8.5,484,86.6,9745,92.5,93.0,60.0,2,22,1,0,20,7,0.65,2,0.19,15,3,15,3,16,11,5,9,671,130,396,249,28,14,5,20.0,40.0,390,938,6,1,0,2,0,443,5,6,5,2,0,35,21,11,65.6
Cristian Romero,ARG,Tottenham,DF,27,18,18,1416,1,0,3,0,1.6,0.6,12,71,3,0.06,0.00,0.10,0.04,N/a,N/a,N/a,N/a,50.0,0.51,0.06,9.1,1094,89.5,20402,91.4,94.7,63.5,7,109,8,1,71,20,1.27,4,0.25,35,29,30,9,18,3,15,21,1377,157,594,720,74,23,4,25.0,50.0,896,2893,12,18,0,10,5,936,3,14,12,2,3,90,41,27,60.3
Crysencio Summerville,NED,West Ham,"FW,MF",23,19,7,786,1,1,2,0,1.6,1.7,29,18,71,0.11,0.11,0.19,0.19,N/a,N/a,N/a,N/a,28.6,0.46,0.07,13.4,194,76.4,2881,84.5,88.7,50.0,17,13,12,5,18,35,4.01,1,0.11,13,7,9,6,13,4,9,0,372,9,47,147,181,38,39,33.3,46.2,207,762,29,15,13,20,16,259,71,9,23,4,21,38,4,9,30.8
Curtis Jones,ENG,Liverpool,"MF,DF",24,29,16,1438,3,3,3,1,4.1,1.0,23,85,67,0.19,0.19,0.26,0.06,N/a,N/a,N/a,N/a,38.7,0.75,0.10,16.9,821,93.2,11932,96.9,92.5,75.6,19,60,16,0,85,41,2.57,7,0.44,34,18,23,8,15,7,8,5,1040,27,160,555,331,50,16,62.5,31.3,632,1383,23,15,5,22,29,781,67,15,23,1,6,78,13,12,52.0
Daichi Kamada,JPN,Crystal Palace,MF,28,30,13,1338,0,0,3,1,1.0,1.8,23,73,52,0.00,0.00,0.07,0.12,N/a,N/a,N/a,N/a,23.5,0.27,0.00,19.4,511,79.5,8122,87.9,82.0,55.1,19,39,13,2,73,46,3.09,3,0.20,43,25,37,25,19,4,15,16,804,18,172,420,217,28,13,30.8,53.8,403,949,23,17,4,13,18,518,52,25,17,2,27,67,3,12,20.0
Dan Burn,ENG,Newcastle Utd,DF,32,33,33,2970,1,0,10,0,1.7,0.9,9,56,10,0.03,0.00,0.05,0.03,N/a,N/a,N/a,N/a,25.0,0.15,0.05,9.9,1578,89.4,28670,91.0,94.8,62.3,8,35,7,0,56,21,0.64,3,0.09,33,19,32,15,32,23,9,25,2104,335,1183,823,103,46,4,75.0,25.0,1203,2383,9,5,1,21,3,1417,10,28,11,5,2,91,127,62,67.2
Dango Ouattara,BFA,Bournemouth,FW,23,32,21,2005,7,4,3,0,8.4,5.5,79,43,191,0.31,0.18,0.38,0.25,N/a,N/a,N/a,N/a,32.3,0.90,0.11,13.5,366,59.9,5714,72.9,62.0,37.3,35,21,26,11,43,72,3.23,6,0.27,35,26,41,24,36,10,26,11,958,62,165,315,497,128,82,47.6,41.5,491,1792,79,35,38,63,32,576,191,16,19,14,88,92,45,63,41.7
Daniel Muñoz,COL,Crystal Palace,DF,28,33,33,2868,4,4,9,0,4.6,4.4,49,83,183,0.13,0.13,0.14,0.14,N/a,N/a,N/a,N/a,37.5,0.38,0.13,12.3,1004,75.8,15308,85.7,77.1,44.3,39,53,31,13,83,74,2.32,9,0.28,109,70,86,37,35,3,32,39,1788,107,508,743,556,89,50,38.0,58.0,695,1461,49,32,15,50,18,846,183,47,19,13,60,149,56,73,43.4
Danilo,BRA,Nott'ham Forest,"MF,FW",24,7,5,267,0,0,0,0,0.0,0.0,2,11,1,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,89,78.1,1435,84.3,83.7,60.0,0,13,0,0,11,7,2.37,2,0.68,6,3,4,2,2,1,1,3,140,8,50,78,13,0,6,50.0,50.0,49,61,2,0,0,6,0,83,1,1,0,0,3,18,1,1,50.0
Danny Ings,ENG,West Ham,"FW,MF",32,15,1,284,1,2,0,0,2.3,1.3,6,5,29,0.32,0.63,0.72,0.41,N/a,N/a,N/a,N/a,35.7,1.58,0.07,15.5,63,68.5,830,83.7,65.5,20.0,6,4,1,0,5,12,3.80,2,0.63,4,2,3,2,5,0,5,1,139,2,15,51,73,27,7,57.1,28.6,63,118,6,0,2,6,6,96,29,0,2,0,3,9,8,10,44.4
Danny Ward,WAL,Leicester City,GK,31,2,1,135,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,4.00,40.0,0.0,N/a,N/a,0.00,N/a,N/a,41,77.4,1162,100.0,100.0,55.6,0,2,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,55,40,55,0,0,0,1,0.0,100.0,44,107,0,0,0,0,0,35,0,0,0,0,0,1,0,0,N/a
Danny Welbeck,ENG,Brighton,FW,34,27,21,1852,9,4,4,0,8.1,1.1,19,40,80,0.44,0.19,0.39,0.05,N/a,N/a,N/a,N/a,37.7,0.97,0.17,15.2,352,84.0,4120,86.0,87.6,100.0,17,15,12,0,40,42,2.04,6,0.29,22,13,17,11,16,2,14,5,625,15,48,266,315,90,36,33.3,58.3,379,751,19,20,7,44,23,462,80,11,21,3,3,37,15,24,38.5
Dara O'Shea,IRL,Ipswich Town,DF,26,32,32,2852,0,2,6,0,1.2,0.5,3,71,8,0.00,0.06,0.04,0.02,N/a,N/a,N/a,N/a,10.0,0.06,0.00,13.6,1112,77.7,22113,86.7,84.8,50.0,3,83,3,1,71,22,0.69,4,0.13,47,30,31,11,59,47,12,31,1841,361,1065,663,118,48,2,50.0,50.0,805,1751,3,2,0,11,4,1048,8,18,22,3,7,101,103,79,56.6
Darwin Núñez,URU,Liverpool,FW,25,26,8,1018,5,2,8,0,5.0,1.2,22,27,67,0.44,0.18,0.44,0.11,N/a,N/a,N/a,N/a,37.5,1.06,0.16,14.5,147,70.7,2203,80.6,73.8,66.7,9,9,2,0,27,26,2.29,4,0.35,18,15,15,10,6,0,6,3,330,10,43,111,186,62,21,38.1,57.1,178,528,22,17,12,21,17,220,67,27,14,11,2,38,16,29,35.6
David Brooks,WAL,Bournemouth,"FW,MF",27,26,8,832,2,0,3,0,2.2,1.7,25,27,75,0.22,0.00,0.24,0.18,N/a,N/a,N/a,N/a,45.5,1.08,0.09,16.8,245,74.2,3791,84.8,76.2,51.4,16,15,15,5,27,35,3.79,2,0.22,11,4,14,13,16,2,14,5,451,13,54,164,241,32,31,25.8,64.5,278,812,25,22,8,27,11,306,75,8,15,0,44,44,7,10,41.2
David Raya,ESP,Arsenal,GK,29,35,35,3150,0,0,2,0,0.0,0.0,0,13,0,0.00,0.00,0.00,0.00,0.89,74.1,34.3,0.0,N/a,0.00,N/a,N/a,980,74.7,23180,98.9,98.3,38.4,0,41,2,0,13,4,0.11,1,0.03,0,0,2,2,0,0,0,2,1367,802,1284,83,0,0,1,100.0,0.0,855,2557,0,0,0,1,0,789,0,1,9,0,0,38,10,0,100.0
Dean Henderson,ENG,Crystal Palace,GK,28,34,34,3060,0,0,3,0,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,1.38,66.9,29.4,50.0,0.0,0.00,0.00,14.9,672,61.8,18496,99.4,99.4,31.3,2,20,1,0,0,3,0.09,0,0.00,2,1,6,4,0,0,0,0,1173,954,1169,3,1,1,0,N/a,N/a,674,1919,0,0,0,2,0,510,0,0,0,0,0,25,11,1,91.7
Dean Huijsen,ESP,Bournemouth,DF,20,29,24,2234,3,1,8,0,1.9,2.0,36,115,10,0.12,0.04,0.08,0.08,N/a,N/a,N/a,N/a,16.7,0.12,0.17,11.9,1204,83.4,24243,89.0,91.6,59.4,14,146,7,2,115,40,1.61,3,0.12,33,23,25,10,36,28,8,49,1803,238,818,863,131,30,5,40.0,60.0,990,3923,36,26,0,18,1,1117,10,29,10,2,12,96,64,41,61.0
Declan Rice,ENG,Arsenal,MF,26,33,31,2645,3,7,7,1,3.4,6.5,88,180,92,0.10,0.24,0.12,0.22,N/a,N/a,N/a,N/a,25.0,0.37,0.07,19.4,1304,83.5,22238,92.0,90.5,48.9,56,126,35,5,180,106,3.61,10,0.34,52,24,37,21,24,11,13,25,1839,71,301,864,693,77,28,46.4,50.0,977,3268,88,54,16,36,29,1205,92,20,16,2,157,143,31,24,56.4
Dejan Kulusevski,SWE,Tottenham,"MF,FW",25,30,25,2281,7,4,3,0,4.2,6.1,118,122,207,0.28,0.16,0.17,0.24,N/a,N/a,N/a,N/a,37.0,0.67,0.15,14.8,644,73.9,9046,86.2,78.1,40.3,64,61,52,6,122,125,4.93,9,0.35,43,23,49,30,27,4,23,13,1233,21,143,413,701,154,111,33.3,59.5,801,3164,118,67,39,74,72,874,207,43,33,5,88,115,10,14,41.7
Destiny Udogie,ITA,Tottenham,DF,22,24,23,1834,0,1,2,0,0.3,1.5,54,120,93,0.00,0.05,0.01,0.07,N/a,N/a,N/a,N/a,20.0,0.05,0.00,15.1,947,87.4,13710,91.3,90.4,80.0,16,88,6,1,120,35,1.72,3,0.15,74,47,47,14,40,6,34,21,1336,60,377,591,383,49,32,40.6,50.0,735,2290,54,39,12,32,19,796,93,29,38,2,19,109,13,13,50.0
Diego Carlos,BRA,Aston Villa,DF,32,10,8,830,0,0,1,0,0.6,0.0,3,34,0,0.00,0.00,0.07,0.00,N/a,N/a,N/a,N/a,25.0,0.11,0.00,6.7,534,88.6,10941,91.4,94.2,65.1,0,23,1,0,34,4,0.43,0,0.00,8,3,6,2,13,7,6,5,674,86,331,330,15,6,2,100.0,0.0,419,1162,3,3,0,1,2,481,0,11,1,1,0,36,11,10,52.4
Diego Gómez,PAR,Brighton,MF,22,12,4,440,0,0,0,0,0.4,0.5,5,20,14,0.00,0.00,0.09,0.10,N/a,N/a,N/a,N/a,0.0,0.00,0.00,21.5,206,79.8,3195,85.8,84.1,52.2,5,12,5,1,20,14,2.86,3,0.61,17,10,18,9,11,0,11,7,342,18,79,184,83,5,12,50.0,50.0,161,254,5,3,0,6,9,203,14,7,2,1,9,30,7,3,70.0
